run,run_label,split,fold,metric,n_rows,n_valid_pairs,n_valid_dates,mean_ic,median_ic,min_ic,max_ic
jo.base,base,oos,1,h9,46909,45811,751,0.0360613578588,0.0475170554369,-0.413733837634,0.436182871196
jo.base,base,oos,2,blend,47676,46560,751,0.04678406158,0.0614247211037,-0.398957270801,0.434589326295
jo.base,base,oos,2,h6,47676,46932,757,0.0451040345206,0.0522021606104,-0.322202916069,0.42504595704
jo.base,base,oos,2,h9,47676,46560,751,0.0324582224132,0.023246442779,-0.417312029678,0.48823299894
jo.base,base,oos,3,blend,46236,45120,751,0.0369024847003,0.0241251845918,-0.430161465136,0.642385680896
jo.base,base,oos,3,h6,46236,45492,757,0.0330499267356,0.0337066163952,-0.501139205335,0.599230331127
jo.base,base,oos,3,h9,46236,45120,751,0.0322465407374,0.025951653237,-0.457460405668,0.495338918343
jo.base,base,oos,4,blend,51192,50058,799,0.0578220645124,0.0535414171222,-0.300687883603,0.378461764689
jo.base,base,oos,4,h6,51192,50436,805,0.0440507625635,0.0478726753386,-0.352418783853,0.401190490506
jo.base,base,oos,4,h9,51192,50058,799,0.0478098708944,0.0403225806452,-0.292482718894,0.424011136713
jo.base,base,oos,5,blend,46140,45060,751,0.0667133720921,0.0711009811824,-0.445979375885,0.401639687858
jo.base,base,oos,5,h6,46140,45420,757,0.0725801200466,0.0859127535427,-0.479577660461,0.481689358155
jo.base,base,oos,5,h9,46140,45060,751,0.0270129037915,0.0258405112531,-0.3427618783,0.35365379272
jo.base,base,oos,6,blend,47675,46559,751,0.0459423252216,0.0445048925193,-0.450635940201,0.554802802168
jo.base,base,oos,6,h6,47675,46931,757,0.0351122499008,0.0334667976128,-0.434615094055,0.51187328448
jo.base,base,oos,6,h9,47675,46559,751,0.0420489631917,0.0387046410315,-0.429729797789,0.489410994435
jo.base,base,oos,7,blend,47005,45871,751,-0.0108093867785,-0.0164101343489,-0.385876753397,0.457583412577
jo.base,base,oos,7,h6,47005,46249,757,0.0033580956293,0.00058170280275,-0.396456901111,0.338974087784
jo.base,base,oos,7,h9,47005,45871,751,-0.0165149727252,-0.0228979375992,-0.443680592279,0.543733474352
jo.base,base,oos,8,blend,49596,48480,799,0.033654287883,0.0407720848832,-0.453514550329,0.416283610962
jo.base,base,oos,8,h6,49596,48852,805,0.038455479587,0.0494581828286,-0.458127257572,0.420561267019
jo.base,base,oos,8,h9,49596,48480,799,0.00846985401544,0.0123367602112,-0.384995832176,0.361433731592
jo.base,base,oos,9,blend,46909,45811,751,0.0528847199147,0.0436110708928,-0.288109817205,0.500608240334
jo.base,base,oos,9,h6,46909,46177,757,0.0409157749948,0.0392913802221,-0.466578529878,0.516129032258
jo.base,base,oos,9,h9,46909,45811,751,0.0452829308516,0.0428373108624,-0.327185711104,0.4920213118
jo.base,base,oos,10,blend,50654,49538,799,0.0566841631217,0.0508519401061,-0.290659748918,0.405014988184
jo.base,base,oos,10,h6,50654,49910,805,0.0470205001654,0.0489285084737,-0.319483266601,0.392158344036
jo.base,base,oos,10,h9,50654,49538,799,0.0497484500737,0.0438921205711,-0.385157764851,0.442270403666
jo.base,base,oos,11,blend,46909,45811,751,0.0859997805256,0.0863395931835,-0.337238516916,0.431992807702
jo.base,base,oos,11,h6,46909,46177,757,0.0678594802887,0.0665397243286,-0.449789110826,0.484773963553
jo.base,base,oos,11,h9,46909,45811,751,0.0825140490922,0.0811529055783,-0.389270085572,0.512600824261
jo.base,base,oos,12,blend,46909,45811,751,0.0438172748741,0.0315421953486,-0.32290826518,0.422751435283
jo.base,base,oos,12,h6,46909,46177,757,0.0465284001881,0.034849286092,-0.2960867266,0.492120571126
jo.base,base,oos,12,h9,46909,45811,751,0.0283502835282,0.0294553146483,-0.310999471179,0.42575356954
jo.base,base,oos,13,blend,47101,45967,751,0.0536116247149,0.0471983813535,-0.439876765373,0.412639012266
jo.base,base,oos,13,h6,47101,46345,757,0.0439492223103,0.0353526005571,-0.443897989171,0.4823829611
jo.base,base,oos,13,h9,47101,45967,751,0.0388791586153,0.0457958751983,-0.354425024583,0.46531551188
jo.base,base,oos,14,blend,52288,51136,799,0.0426383222214,0.0512568010908,-0.406465060385,0.461002910486
jo.base,base,oos,14,h6,52288,51520,805,0.0343952381703,0.0413461538462,-0.453388278388,0.380860805861
jo.base,base,oos,14,h9,52288,51136,799,0.0333300095816,0.035347985348,-0.324038461538,0.417628205128
jo.base,base,oos,15,blend,49216,48064,751,0.0565735114626,0.0560543258927,-0.306751697551,0.387314347452
